Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
intr_anta_unco_neur_open_p6.txt,1,607,87.86,9.38,96.33,58.95,20.23,25.21,87.15,69.36,54.2,14.5,10.54,8.73,0.66,0.16,0.66,0.33,3.95,17.13,10.21,0.33,16.8,4.12,2.47,6.43,0.66,12.36,6.75,3.62,4.94,2.31,0.66,1.98,12.85,0.49,12.19,4.94,0.82,0.66,1.81,0.16,2.31,0.33,6.75,4.45,1.98,3.46,1.65,1.32,0.82,0.33,0,0,8.57,3.95,0.99,0,0.33,0.33,0.33,3.79,0,0,0.82,0,0.16,0.16,0,0,1.65,0.99,0,0.66,0,0,0.49,0.33,0,0,0.33,0,0,0,0,0,0.16,0.99,0.33,0.16,0,0,0.33,1.32,4.94,11.7,0.66,1.98,6.92,0.66,0.49,1.15,4.45,8.07,0.66,0.16,0,0,0,0,0,12.69,4.94,6.75,0,0,0.33,0.66,0
intr_agre_unco_emot_clos_p8.txt,1,680,65.44,2.82,99,88.2,21.94,25.88,90.59,69.85,56.18,17.65,12.35,10.74,0.44,0,0,1.03,5.29,15.15,7.06,0.29,16.62,5.59,4.56,6.18,1.03,13.82,5.44,2.35,6.32,3.53,1.62,1.18,15.44,1.18,14.26,6.03,0.59,1.47,2.79,0.29,2.94,0,6.32,5.44,0.74,2.35,1.91,0.29,0.15,0,0,0,10.29,5,1.03,0.29,0,0,1.62,3.24,0,0.15,0,0,0.15,0.15,0,0,2.06,1.18,0,0.74,0.15,0,0.59,0.29,0.15,0.15,0,0,0,0.15,0,0.44,0.15,0.29,0,0.15,0,0.44,0.44,1.03,5.15,14.85,0.59,1.91,9.85,0.44,0.88,0.59,3.97,7.06,1.32,1.03,0,0,0,0,0,12.06,4.56,6.18,0,0,1.03,0.29,0
extr_agre_cons_emot_open_p4.txt,1,678,78.08,16.79,94.61,97.04,21.19,25.37,91.15,69.47,53.98,16.37,10.77,7.67,1.03,0,0.74,0.74,5.6,15.19,8.26,0.29,16.67,4.28,2.36,7.52,0.74,12.09,6.78,2.51,6.34,3.69,1.47,1.18,12.54,0.15,12.39,4.42,1.47,1.18,1.92,0.59,2.36,0.44,6.93,6.49,0.15,2.95,2.51,0,0,0,0,0,13.57,6.34,1.62,0,0,0,1.03,5.01,0,0.15,1.03,0,0,0,0,0,1.62,0.44,0.29,0.59,0.29,0,0.88,0,0,0,0,0,0,0,0,0.15,0,0.15,0,0.74,0,0.29,0.15,1.18,3.69,15.04,1.33,1.47,9,1.62,0.88,0.88,3.98,8.41,0.74,0.15,0,0,0,0,0,12.68,4.72,6.49,0,0,1.18,0.29,0
intr_agre_cons_emot_clos_p2.txt,1,619,77.43,4.14,98.41,97.73,20.63,27.95,91.44,68.5,54.6,15.67,12.12,10.34,0.16,0,0.16,0.48,3.55,15.51,9.05,0.32,15.99,4.85,2.91,7.75,0.48,12.12,7.27,1.62,5.01,1.94,1.62,1.45,13.89,0,13.89,6.62,1.13,0.65,1.62,0.16,2.91,0.32,8.24,7.11,0.48,3.55,2.42,0.48,0.48,0,0,0,12.44,7.11,1.62,0.32,0,0.32,2.42,3.72,0,0,0,0,0,0,0,0,1.29,0.81,0,0.32,0,0.16,0.48,0.16,0,0.16,0,0,0,0,0,0.16,0,0.81,0,0.32,0,0.48,0,1.29,5.49,10.99,0.97,1.45,6.62,0.65,0.65,1.13,2.91,7.11,1.13,0.16,0,0,0,0,0,9.05,4.85,4.04,0,0,0,0.16,0
intr_anta_unco_emot_clos_p2.txt,1,578,57.66,1.73,99,18.2,20.64,27.34,88.06,68.86,55.71,18.69,12.63,10.55,0.35,0,0,1.73,6.06,15.57,6.57,0,15.92,4.15,5.36,7.27,1.04,9.86,7.44,1.21,5.36,1.9,1.56,2.08,16.61,0.35,16.26,4.84,1.56,2.08,3.29,0.52,4.15,0,7.09,2.77,2.94,3.29,0.69,1.21,0.35,0.52,0,0,8.3,3.98,0.69,0,0.69,0,1.04,2.94,0,0.17,0,0,0.17,0,0,0.17,1.38,0.69,0,0.69,0,0,0.52,0.35,0,0,0,0,0,0,0,0,0.35,0.17,0.17,0,0,0,0.35,1.04,2.42,15.92,1.38,1.04,10.73,1.04,0.69,1.04,4.67,5.54,0.52,0.87,0,0,0,0,0,12.63,4.84,6.06,0,0,0.87,0.87,0
intr_anta_cons_emot_clos_p8.txt,1,590,74.28,1.96,99,34.55,19.03,24.41,87.46,69.15,56.78,18.81,11.53,10,0.68,0,0,0.68,7.29,18.81,9.32,0.17,15.25,4.41,3.22,5.25,0.85,10.51,6.1,1.86,3.9,1.53,0.68,1.69,15.76,0.34,15.42,5.59,1.86,0.68,3.22,0.17,4.07,0,5.42,2.71,1.69,3.05,1.53,0.51,0.17,0.34,0,0,7.8,4.41,0.68,0.17,0.51,0,1.36,2.2,0,0,0,0,0.17,0.17,0,0,0.68,0,0.68,0,0,0,1.19,0.17,0,0,0,0,0,0.17,0,0,0.17,0.34,0,0.17,0,0,0.34,0.51,2.54,14.92,1.36,0.68,10.68,0.85,0.85,0.85,3.22,7.97,0.68,1.19,0,0,0,0,0,12.54,5.25,6.61,0,0,0.17,0.51,0
extr_anta_unco_emot_open_p4.txt,1,622,66.52,12.07,97.14,79.44,17.28,25.88,90.03,66.56,56.75,17.04,13.67,9.49,1.13,0,0,2.41,3.38,15.59,7.56,0.64,15.76,5.63,3.22,7.23,1.13,11.09,3.38,2.89,6.91,2.89,1.93,2.09,14.63,0.64,13.67,4.02,2.09,1.93,2.73,0.64,3.38,0.32,7.4,5.47,1.61,3.38,1.77,1.29,0.32,0.96,0,0,13.02,5.79,0.48,0,1.13,0.16,2.09,6.75,0,0.32,0,0,0,0,0,0,1.77,0.96,0.16,0.64,0,0,0.32,0.16,0,0,0,0,0,0,0,0,0.32,0.32,0.16,0.16,0,0.32,0.16,1.13,3.7,13.99,0.96,2.09,8.04,1.61,0.64,0.64,3.54,5.95,0.96,0.8,0,0,0,0,0,13.5,5.79,6.27,0,0,1.13,0.32,0
intr_agre_cons_neur_open_p6.txt,1,611,88.12,3.02,99,64.08,18.52,25.86,87.56,63.99,53.19,15.22,9.98,9.66,0,0,0,0,5.24,20.13,10.97,0.16,15.88,3.44,2.62,6.22,0.33,7.86,6.22,2.13,3.44,1.15,1.15,1.15,11.13,0.33,10.8,4.26,0.65,0.65,1.47,0.65,1.47,0.33,6.38,4.58,1.8,3.11,1.8,1.31,1.15,0,0,0,5.07,3.6,0.98,0.16,0,0,0.33,0.65,0,0,0,0,0,0,0,0,1.96,0.98,0.16,0.33,0,0.49,3.6,1.64,0.16,0.33,0.49,0,0,0.16,0,0.16,0,0.16,0.16,0.49,0.16,0.33,0.16,0.82,2.45,16.2,0,2.62,9.49,1.47,1.15,1.8,4.42,4.58,1.31,0.49,0,0,0,0,0,14.08,5.4,7.69,0,0,0.16,0.82,0
extr_anta_unco_neur_clos_p10.txt,1,625,66.67,7.62,97.5,38.79,17.36,24,90.88,71.04,58.56,18.08,13.6,9.76,0.64,0.16,0,2.72,4.48,15.04,7.36,0,17.6,5.44,4.8,7.04,0.48,12.8,6.08,1.76,5.6,1.76,1.76,2.08,11.84,0,11.84,3.68,1.28,0.64,1.76,0.64,3.36,0.32,7.68,4.32,3.04,4.48,1.76,2.4,0.16,2.08,0,0,12.48,7.04,0.32,0,2.4,0.32,2.4,4.96,0,0,0,0,0.32,0.32,0,0,1.44,0.96,0.16,0.32,0,0,1.12,0,0,0,0,0,0,0.16,0,0,0,0.64,0.16,0,0,0.48,0.32,0.96,4.48,12,1.28,1.92,7.52,0.96,0.32,0.64,3.36,8.64,0.8,0.16,0.16,0,0,0.16,0,13.76,5.76,6.56,0,0,0.96,0.48,0
extr_agre_cons_neur_clos_p1.txt,1,712,76.2,65.71,77.77,88.77,17.8,25.98,89.19,66.57,53.09,14.89,11.8,5.48,5.34,0,0.14,0.42,3.09,18.26,9.55,0.28,14.04,4.63,3.23,7.58,0.42,11.8,4.49,3.09,13.06,8.71,2.81,1.69,12.5,0.42,11.94,2.67,3.65,0.98,0.84,0.42,2.39,0.42,8.99,6.74,1.97,3.09,1.69,1.12,0.98,0,0,0,12.5,4.35,2.39,0,0.28,0.14,0.28,7.3,0,0.7,0,0,0.14,0,0,0.14,3.51,1.69,0,1.26,0.42,0.14,1.4,0.84,0.28,0,0.56,0,0,0,0,0.14,0.28,0.98,0,0.28,0,0.14,0.28,0.28,5.48,11.66,0.98,1.97,6.74,0.42,0.42,1.4,4.21,6.74,0.84,0.28,0,0,0,0,0,12.08,5.34,5.48,0.28,0,0.42,0.56,0
